PCF ID,Hierarchy ID,Name,<user>,<action>,<outcome>,<context>,User Story  [1],User Story  [2],User Story  [3],Priority,Difference Index,Change details,Metrics available?,Input,Store,Users,Process,Output
19967,1.2.8.2.4,Define a vision for the customer experience,,,,,"As one of the venture's Executives, I aim to define a vision for the customer experience interfacing with my business unit, to develop customer experience strategy, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to define a vision for the customer experience which is then with it integrated into a comprehensive report by the system as part of developing customer experience strategies.",,,1,NEW,N,,,,,
19968,1.2.8.2.5,Validate with customers,,,,,"As one of the venture's Executives, I aim to validate with customers interfacing with my business unit, to develop customer experience strategy, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to assess validated customer experience which are then with it integrated into a comprehensive report by the system as part of developing customer experience strategies.",,,1,NEW,N,,,,,
19969,1.2.8.2.6,Align experience with brand values and business strategies,,,,,"As one of the venture's Executives, I aim to align experience with brand values and business strategies interfacing with my business unit, to develop customer experience strategy, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to assess aligned experience with brand values and business strategies, which are then with it integrated into a comprehensive report by the system as part of developing customer experience strategies.",,,1,NEW,N,,,,,
19970,1.2.8.2.7,Develop content strategy,,,,,"As one of the venture's Executives, I aim to develop content strategy interfacing with my business unit, to develop customer experience strategy, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to review content strategy which are then with it integrated into a comprehensive report by the system as part of developing customer experience strategies.",,,1,NEW,N,,,,,
19971,1.2.8.3,Design customer experience support structure,,,,,"As one of the venture's Executives, I aim to design customer experience support structure interfacing with my business unit, to develop customer experience strategy, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to review customer experience support structure which are then with it integrated into a comprehensive report by the system as part of developing customer experience strategies.",,,3,#ERROR!,N,,,,,
19972,1.2.8.3.1,Identify required capabilities,,,,,"As one of the venture's Executives, I aim to identify required capabilities interfacing with my business unit, to develop customer experience strategy, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to review required capabilities which are then with it integrated into a comprehensive report by the system as part of developing customer experience strategies.",,,1,NEW,N,,,,,
19973,1.2.8.3.2,Identify impact on functional processes,,,,,"As one of the venture's Executives, I aim to identify impact on functional processes interfacing with my business unit, to develop customer experience strategy, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to review impact on functional processes which are then with it integrated into a comprehensive report by the system as part of developing customer experience strategies.",,,1,NEW,N,,,,,
19974,1.2.8.4,Develop customer experience roadmap to develop and implement defined capabilities,,,,,"As one of the venture's Executives, I aim to develop customer experience roadmap to develop and implement defined capabilities interfacing with my business unit, to develop customer experience strategy, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to assess customer experience roadmap to develop and implement defined capabilities which are then with it integrated into a comprehensive report by the system as part of developing customer experience strategies.",,,1,NEW,N,,,,,
18916,1.2.9,Communicate strategies internally and externally,,,,,r/w/e,r,,,1,NEW,N,,,,,
,,,,,,,"As one of the venture's Executives, I aim to communicate strategies internally and externally, interfacing with my business unit, using the system.","As the venture's CEO, I aim to communicate strategies internally and externally.",,,,,,,,,,
10016,1.3,Execute and measure strategic initiatives,,,,,,,,,12,#ERROR!,N,,,,,
10057,1.3.1,Develop strategic initiatives,,,,,r/w/e,r,,,3,#ERROR!,N,,,,,
19975,1.3.1.1,Identify strategic priorities,,,,,"As one of the venture's Executives, I aim to develop strategic initiatives in my business unit, by identifying strategic priorities, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to assess the identified strategic priorities, which are integrated into a comprehensive report by the system as part of developing strategic initiatives.",,,1,NEW,N,,,,,
19976,1.3.1.2,Develop strategic initiatives based on business/customer value,,,,,"As one of the venture's Executives, I aim to develop strategic initiatives based on business/customer value in my business unit, by identifying strategic priorities, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to assess the developed strategic initiatives based on business/customer value, which are integrated into a comprehensive report by the system as part of developing strategic initiatives.",,,1,NEW,N,,,,,
19977,1.3.1.3,Review with stakeholders,,,,,"As one of the venture's Executives, I aim to review with stakeholders in my business unit, by identifying strategic priorities, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to assess the stakeholder reviews, which are integrated into a comprehensive report by the system as part of developing strategic initiatives.",,,1,NEW,N,,,,,
10058,1.3.2,Evaluate strategic initiatives,,,,,r/w/e,r,,,2,#ERROR!,N,,,,,
19978,1.3.2.1,Determine business value for each strategic priority,,,,,"As one of the venture's Executives, I aim to determine business value for each strategic priority in my business unit, by sodoing, evaluating strategic priorities, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to assess the business value for each strategic priority, which are integrated into a comprehensive report by the system as part of evaluating strategic initiatives.",,,1,NEW,N,,,,,
19979,1.3.2.2,Determine the customer value for each strategic priority,,,,,"As one of the venture's Executives, I aim to determine customer value for each strategic priority in my business unit, by sodoing, evaluating strategic priorities, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to assess the customer value for each strategic priority, which are integrated into a comprehensive report by the system as part of evaluating strategic initiatives.",,,1,NEW,N,,,,,
10059,1.3.3,Select strategic initiatives,,,,,r/w/e,r,,,2,#ERROR!,N,,,,,
19980,1.3.3.1,Prioritize strategic initiatives,,,,,"As one of the venture's Executives, I aim to prioritise strategic initiatives in my business unit, by sodoing, evaluating strategic priorities, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to confirm strategic initiative priority, recorded in a comprehensive report by the system as part of evaluating strategic initiatives.",,,1,NEW,N,,,,,
19981,1.3.3.2,Communicate strategic initiatives to business units and stakeholders,,,,,"As one of the venture's Executives, I aim to communicate strategic initiatives to business units and stakeholders, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to communicate strategic initiatives to business units and stakeholders, recorded in a comprehensive report by the system as part of evaluating strategic initiatives.",,,1,NEW,N,,,,,
10060,1.3.4,Establish high-level measures,,,,,"As one of the venture's Executives, I aim to establish high-level measures, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to review, recorded in a comprehensive report by the system as part of evaluating strategic initiatives.",,,3,#ERROR!,N,,,,,
19982,1.3.4.1,Identify business value drivers,,,,,"As one of the venture's Executives, I aim to identify business value drivers, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to review business value drivers, recorded in a comprehensive report by the system as part of evaluating strategic initiatives.",,,1,NEW,N,,,,,
19983,1.3.4.2,Establish baselines for business value drivers,,,,,"As one of the venture's Executives, I aim to establish baselines for business value drivers , which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to establish baselines for business value drivers, recorded in a comprehensive report by the system as part of evaluating strategic initiatives.",,,1,NEW,N,,,,,
19984,1.3.4.3,Monitor performance against baselines,,,,,"As one of the venture's Executives, I aim to monitor performance against baselines, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to monitor performance against baselines, recorded in a comprehensive report by the system as part of evaluating strategic initiatives.",,,1,NEW,N,,,,,
19507,1.3.5,Execute strategic initiatives,,,,,"As one of the venture's Executives, I aim to execute strategic initiatives, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to oversee execution of strategic initiatives, recorded in a comprehensive report by the system as part of evaluating strategic initiatives.",,,1,NEW,N,,,,,
